start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-27-2022_12-27-41,09-27-2022_12-29-42,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_11.ini,,-7,45,9.708542714,1932,-52,15,-1.150753769,-229,8.557788945,0.207652174,0.798217391,26.01448881,4.486147657,0,1.142028799,12.56231679,8.86255155,0,2.527823006,27.80605307,23,11,12,47.82608696,34,77,29,9,14,9,11,12,-16,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_12-44-08,09-27-2022_12-47-40,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config/config_12.ini,,-10,34,8.301507538,1652,-33,19,1.035175879,206,9.336683417,0.218666667,0.802166667,27.25950551,4.860081802,0,2.30288025,20.72592225,9.547306212,0,1.28166709,11.53500381,18,9,9,50,31,53,17,8,12,9,6,11,13,-4,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_12-54-42,09-27-2022_12-56-46,WEAKENING - PRIORITY - RUNAWAY,3,experiments/config/bound_run/randomized_config/config_13.ini,,-9,52,3.572864322,711,-21,19,1.748743719,348,5.321608041,0.286321429,0.857214286,33.40138322,7.018988672,0,2.905253992,72.6313498,15.31346059,0,4.361766698,109.0441675,28,25,3,89.28571429,54,47,36,2,9,9,3,7,9,-12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_12-59-09,09-27-2022_13-01-11,WEAKENING - PRIORITY - RUNAWAY,4,experiments/config/bound_run/randomized_config/config_14.ini,,-8,72,5.457286432,1086,-19,16,3.879396985,772,9.336683417,0.30552381,0.873047619,34.99509109,3.829890494,0,1.869040939,39.24985972,9.016886026,0,1.949664213,40.94294846,21,21,0,100,60,28,29,1,8,9,3,4,10,-14,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-05-16,09-27-2022_13-07-17,WEAKENING - PRIORITY - RUNAWAY,5,experiments/config/bound_run/randomized_config/config_15.ini,,-9,71,6.703517588,1334,-22,19,5.40201005,1075,12.10552764,0.3291875,0.89475,36.79100307,5.270097815,0,2.410842131,38.5734741,12.33050284,0,2.708222801,43.33156482,16,16,0,100,59,27,27,1,8,9,2,4,4,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-10-40,09-27-2022_13-12-40,WEAKENING - PRIORITY - RUNAWAY,6,experiments/config/bound_run/randomized_config/config_16.ini,,-5,77,13.48743719,2684,-5,12,2.683417085,534,16.17085428,0.293909091,0.862454545,34.07821229,3.698575666,0.434314348,1.624085751,17.86494326,2.67699179,0,0.994618681,10.94080549,11,11,0,100,70,10,13,1,4,9,1,2,5,-10,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-22-44,09-27-2022_13-24-50,WEAKENING - PRIORITY - RUNAWAY,7,experiments/config/bound_run/randomized_config/config_17.ini,,-9,32,3.286432161,654,-28,15,-3.110552764,-619,0.175879397,0.275351351,0.847243243,32.499681,5.879761861,0,2.737811872,79.39654429,15.89921127,0,5.706192404,165.4795797,37,29,8,78.37837838,48,67,31,2,10,9,4,9,11,19,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_01-13-51,09-26-2022_01-15-50,WEAKENING - PRIORITY - RUNAWAY,8,experiments/config/bound_run/randomized_config/config_18.ini,,-10,37,6.618090452,1317,-38,15,0.165829146,33,6.783919598,0.233076923,0.815153846,28.59299802,5.979919779,0,2.80029702,19.60207914,11.34657996,0,1.730685908,12.11480135,13,7,6,53.84615385,35,70,25,7,12,9,8,11,-5,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-28-20,09-27-2022_13-30-24,WEAKENING - PRIORITY - RUNAWAY,9,experiments/config/bound_run/randomized_config/config_19.ini,,-8,54,5.010050251,997,-12,19,5.623115578,1119,10.63316583,0.3557,0.9324,38.14886315,7.418946812,0.947358496,2.788105881,52.97401175,9.564562065,0,3.423506718,65.04662765,20,19,1,95,81,16,24,1,6,9,2,4,0,11,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-32-54,09-27-2022_13-34-52,WEAKENING - PRIORITY - RUNAWAY,0,experiments/config/bound_run/randomized_config/config_20.ini,,-10,38,7.201005025,1433,-11,15,3.231155779,643,10.4321608,0.212,0.7951,26.66331279,3.948677713,0,1.355355218,6.776776092,2.769333764,0,0.94802858,4.7401429,10,5,5,50,40,56,32,8,12,9,7,10,18,-12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-37-40,09-27-2022_13-39-36,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_21.ini,,-9,76,4.48241206,892,-4,18,12.28643216,2445,16.76884422,0.268666667,0.834666667,32.1884984,6.52088439,1.014748099,3.098351748,9.295055245,2.336874362,0,0.778958121,2.336874362,3,3,0,100,131,8,45,0,5,9,1,3,-5,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-42-39,09-27-2022_13-44-40,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config/config_22.ini,,-9,36,10.56281407,2102,-37,17,-1.874371859,-373,8.688442211,0.238952381,0.817714286,29.22198928,5.912805115,0,1.83491383,27.52370746,11.97048187,0,2.744970067,41.174551,21,15,6,71.42857143,22,81,33,6,14,9,10,11,-2,3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-20-05,09-27-2022_14-22-04,WEAKENING - PRIORITY - RUNAWAY,3,experiments/config/bound_run/randomized_config/config_23.ini,,-8,74,13.11557789,2610,-18,17,4.462311558,888,17.57788945,0.45125,1.028,43.8959144,2.804580635,0.067506429,1.465503563,5.86201425,4.435084181,0,1.817497545,7.26999018,4,4,0,100,40,30,28,2,11,9,2,3,-15,-2,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_01-57-25,09-26-2022_01-59-31,WEAKENING - PRIORITY - RUNAWAY,4,experiments/config/bound_run/randomized_config/config_24.ini,,-9,50,3.130653266,623,-22,16,-1.48241206,-295,1.648241206,0.2507,0.82495,30.38972059,6.054908373,0,2.389048724,59.72621809,14.60095225,0,3.633314968,90.83287421,40,25,15,62.5,55,60,16,2,10,9,5,8,7,-20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-38-08,09-27-2022_14-40-08,WEAKENING - PRIORITY - RUNAWAY,5,experiments/config/bound_run/randomized_config/config_25.ini,,-9,41,7.381909548,1469,-15,17,1.914572864,381,9.296482412,0.295928571,0.868928571,34.0567201,2.949293623,0,1.418699713,14.18699713,4.544729288,0,0.880089106,8.800891058,14,10,4,71.42857143,43,66,38,6,13,9,8,10,6,-18,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_05-09-17,09-26-2022_05-11-13,PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_51.ini,,-10,63,5.557788945,1106,-36,15,-2.417085427,-481,3.140703518,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,75,61,26,2,10,9,3,8,-5,-13,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-04-43,09-27-2022_20-06-39,PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config/config_52.ini,,-9,59,3.718592965,740,-33,13,-4.603015075,-916,-0.88442211,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,83,63,32,1,7,9,4,6,20,-9,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-54-20,09-27-2022_19-56-16,PRIORITY - RUNAWAY,3,experiments/config/bound_run/randomized_config/config_53.ini,,-10,42,5.145728643,1024,-74,19,-11.15075377,-2219,-6.005025127,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,84,60,30,2,8,9,6,7,-7,17,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-53-16,09-27-2022_20-55-12,PRIORITY - RUNAWAY,4,experiments/config/bound_run/randomized_config/config_54.ini,,-10,38,6.849246231,1363,-66,18,-5.442211055,-1083,1.407035176,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,70,29,6,14,9,9,11,0,-19,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-22-25,09-27-2022_20-24-21,PRIORITY - RUNAWAY,5,experiments/config/bound_run/randomized_config/config_55.ini,,-9,37,11.22110553,2233,-22,16,-1.175879397,-234,10.04522613,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,37,80,29,10,14,9,11,12,-15,14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-32-19,09-27-2022_20-34-15,PRIORITY - RUNAWAY,7,experiments/config/bound_run/randomized_config/config_57.ini,,-10,59,5.718592965,1138,-71,16,-5.618090452,-1118,0.100502513,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,58,64,32,5,10,9,6,9,-7,-14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-36-21,09-27-2022_20-38-17,PRIORITY - RUNAWAY,8,experiments/config/bound_run/randomized_config/config_58.ini,,-8,62,5.286432161,1052,-27,17,0.603015075,120,5.889447236,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,57,62,27,7,12,9,5,6,11,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-40-22,09-27-2022_20-42-18,PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_61.ini,,-9,47,10.2160804,2033,-19,11,-2.246231156,-447,7.969849244,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,34,87,31,10,14,9,11,12,-16,-15,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_20-44-22,09-27-2022_20-46-18,PRIORITY - RUNAWAY,4,experiments/config/bound_run/randomized_config/config_64.ini,,-9,72,6.155778894,1225,-20,18,1.502512563,299,7.658291457,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,74,42,29,1,8,9,3,4,10,-14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_21-02-39,09-27-2022_21-04-35,PRIORITY - RUNAWAY,6,experiments/config/bound_run/randomized_config/config_56.ini,,-8,53,6.457286432,1285,-14,19,3.366834171,670,9.824120603,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,67,45,30,1,13,9,3,5,-1,5,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
